idx,beta_1,beta_2,beta_3,T_star,Q0,g_inel_hard
76,0.90310,-0.44210,0.32550,0.48062,1.19000,0.21610
77,-0.87150,0.48510,0.73210,0.39766,2.45000,0.18970
78,0.85750,-0.74230,0.24190,0.22902,1.58600,0.39670
79,0.75490,-0.04310,-0.20270,0.28682,1.21800,0.12130
80,-0.39650,0.81570,0.75110,0.23038,2.87800,0.21850
81,-0.14190,0.05570,0.14690,0.22562,1.77800,0.27010
82,0.50410,-0.19510,0.43950,0.49422,2.85800,0.24730
83,-0.40410,0.18490,-0.57890,0.41058,2.55400,0.39430
84,-0.30910,0.98670,-0.76510,0.26234,1.21000,0.19990
85,-0.78030,-0.17610,0.69030,0.25350,2.03000,0.31990
86,0.02530,-0.15710,0.85750,0.32830,2.33400,0.25270
87,0.70550,0.99430,0.68650,0.37794,2.69000,0.39070
88,-0.48390,0.65610,-0.41930,0.31538,2.15400,0.12550
89,-0.51430,-0.87150,-0.71950,0.32422,1.50200,0.23290
90,0.26470,0.20770,0.82710,0.48334,1.56200,0.38770
91,-0.25970,0.25330,-0.86010,0.35006,2.37400,0.27250
92,0.73590,0.15830,0.44330,0.16918,2.35800,0.20350
93,0.21150,-0.13050,-0.45350,0.25622,1.08600,0.34030
94,-0.43070,-0.83350,-0.40030,0.49218,2.79400,0.20950
95,-0.27110,0.90690,-0.01270,0.24398,2.72200,0.28750
96,0.42050,0.31410,0.87270,0.46226,2.69400,0.13570
97,0.63330,-0.60550,0.77770,0.16782,1.05400,0.26710
98,-0.32050,0.67890,0.27610,0.49150,1.12600,0.32290
99,-0.11910,-0.38890,0.01010,0.33170,1.22200,0.38350
100,0.43190,-0.75750,-0.51430,0.36978,1.34200,0.13870
101,0.40530,0.60290,-0.30530,0.16986,2.78600,0.25030
102,0.99430,0.91830,-0.55990,0.35482,1.92200,0.21490
103,0.54210,-0.57130,0.22670,0.35414,2.87000,0.10150
104,-0.53710,0.11650,0.63710,0.26914,2.91400,0.37870
105,0.83850,0.30650,-0.62830,0.21746,2.80600,0.14590
106,0.92210,-0.06210,0.96390,0.47314,2.03400,0.34510
107,0.55350,0.02530,0.39390,0.23378,1.00200,0.30430
108,0.86510,0.10890,-0.81450,0.48470,2.23000,0.19570
109,-0.45730,0.53450,0.21530,0.25282,1.68200,0.14290
110,0.73970,-0.50670,-0.52570,0.41942,1.84200,0.30910
111,0.36730,-0.43450,-0.66250,0.30110,1.53000,0.34690
112,0.97910,-0.64730,-0.36230,0.29430,2.68200,0.27790
113,-0.58650,-0.40030,0.99430,0.26030,2.17000,0.12010
114,-0.38130,0.01010,-0.41170,0.39222,1.14200,0.26890
115,-0.68910,-0.54090,-0.18370,0.22834,1.19400,0.24250
116,0.65230,-0.81830,-0.79550,0.16646,2.51400,0.36850
117,-0.58270,-0.26350,-0.16090,0.36910,1.78600,0.39310
118,0.11650,0.29510,0.40910,0.29906,1.50600,0.16690
119,-0.76130,0.67130,-0.07350,0.19230,2.49800,0.31450
120,0.19630,0.80810,0.94870,0.34326,2.64200,0.18190
121,0.98290,-0.73850,0.53450,0.40106,1.39000,0.23590
122,-0.20650,0.48130,-0.87910,0.18006,2.73800,0.33790
123,-0.89430,-0.84110,0.18490,0.23582,1.93800,0.20710
124,0.05570,0.91070,0.23810,0.42690,1.53400,0.30490
125,-0.87910,0.08610,-0.03550,0.48606,1.32600,0.16870
126,-0.02790,-0.05830,-0.29770,0.33578,1.98200,0.20590
127,-0.33190,-0.53710,0.29510,0.18482,2.61000,0.38530
128,0.53070,-0.68530,0.83470,0.27934,1.63400,0.31390
129,0.98670,0.58390,0.43190,0.31606,2.28200,0.39130
130,0.58770,-0.77650,0.73590,0.45478,2.09000,0.19510
131,0.78530,0.96390,0.83090,0.23650,2.52200,0.19690
132,-0.41550,0.37110,0.54590,0.18618,1.18200,0.17650
133,0.09750,0.44710,-0.72710,0.26710,2.90200,0.12910
134,0.86130,-0.84490,-0.08110,0.38202,2.98200,0.19810
135,0.04810,0.61430,-0.44590,0.49014,2.40600,0.34270
136,0.92590,0.40150,-0.71570,0.39970,2.36200,0.32590
137,0.49270,-0.08870,0.05570,0.26506,2.14200,0.10570
138,-0.75370,-0.57510,0.98290,0.16102,2.26200,0.36490
139,-0.40790,-0.20270,-0.06590,0.43438,1.65400,0.23470
140,-0.56750,0.94490,0.88030,0.41602,1.87000,0.12670
141,0.32930,-0.01270,-0.70050,0.44866,2.06600,0.13690
142,0.93730,-0.20650,-0.57130,0.16714,1.26600,0.30010
143,-0.60170,-0.73090,-0.25970,0.41466,1.03000,0.29410
144,-0.13430,0.63330,-0.68910,0.36298,1.79000,0.10690
145,-0.67770,0.60670,0.97150,0.42214,1.14600,0.37690
146,-0.63590,0.35970,-0.30150,0.45070,2.09800,0.39850
147,0.37110,0.78530,-0.05070,0.48198,1.80600,0.28450
148,-0.05450,-0.70810,-0.84110,0.41874,1.93400,0.11770
149,-0.21410,0.59530,0.70170,0.19706,1.64200,0.19450
150,0.84230,0.27230,0.67510,0.39154,2.15000,0.21070
151,0.74350,-0.48010,0.95630,0.19298,1.35800,0.38110
152,0.30270,-0.11530,-0.11530,0.35890,1.43400,0.27370
153,-0.49530,-0.22170,0.42810,0.20590,2.33800,0.34390
154,0.32170,-0.30530,0.93730,0.24194,1.03400,0.16510
155,-0.86390,0.83850,-0.72330,0.28274,2.54200,0.22510
156,-0.67010,-0.62450,-0.47250,0.27186,1.38600,0.11170
157,0.40910,-0.82590,-0.39270,0.31946,2.37000,0.39730
158,-0.11150,-0.16850,-0.58650,0.44526,2.96600,0.21550
159,-0.26730,-0.60170,0.19630,0.48266,2.24200,0.16450
160,-0.14570,-0.77270,0.10890,0.17326,2.74600,0.13810
161,0.57250,-0.41930,0.76630,0.38066,2.50600,0.33850
162,0.81570,0.37490,-0.19510,0.42758,2.75800,0.36070
163,0.27990,0.63710,0.67890,0.43778,2.49400,0.12070
164,0.46230,-0.30910,-0.12670,0.16034,1.18600,0.35410
165,-0.33950,-0.36230,0.96010,0.30654,1.59400,0.26170
166,-0.01270,0.21910,0.74730,0.40582,1.95000,0.30790
167,-0.57510,0.71310,0.58390,0.32898,2.95400,0.15670
168,-0.32430,0.59910,-0.23690,0.33034,1.76200,0.35770
169,0.12790,-0.44590,-0.02790,0.37114,2.27000,0.22690
170,0.96770,-0.33190,0.34830,0.33986,2.91000,0.35890
171,-0.19130,-0.67010,0.55730,0.47926,1.09000,0.30190
172,0.68270,-0.80690,0.62950,0.49286,1.52600,0.11830
173,-0.21790,0.10510,-0.47630,0.30450,2.07400,0.30310
174,0.58010,0.42050,0.00250,0.27594,1.02600,0.22330
175,0.77390,-0.14570,0.48890,0.38338,1.81800,0.38290
176,-0.76890,0.34070,0.78910,0.34462,2.85400,0.25570
177,-0.41930,0.50410,-0.68530,0.49558,2.20600,0.25990
178,-0.10010,0.86130,0.40150,0.31878,2.36600,0.10210
179,-0.73470,-0.78790,0.06330,0.40446,2.39800,0.21730
180,-0.36230,-0.14190,-0.54470,0.32082,1.30600,0.18310
181,-0.52190,-0.03550,-0.85250,0.46906,1.04600,0.34330
182,-0.82590,-0.58270,0.45850,0.28818,2.09400,0.18130
183,0.60290,-0.22550,-0.81070,0.31674,2.65000,0.29890
184,0.74730,0.03290,-0.54850,0.23106,2.61400,0.23770
185,0.64090,0.78150,-0.58270,0.49830,1.41400,0.10330
186,0.39390,-0.71950,0.37110,0.25554,2.99000,0.26650
187,0.25710,-0.68150,-0.67390,0.35822,2.92200,0.16150
188,-0.35470,0.13930,0.23050,0.40174,2.83000,0.23710
189,-0.76510,-0.64350,-0.42310,0.44662,1.69400,0.19630
190,-0.87530,0.77770,-0.46110,0.34870,1.27000,0.24790
191,-0.72330,-0.43070,0.67130,0.21066,2.77400,0.13210
192,-0.33570,-0.09630,0.59150,0.45138,1.85400,0.11470
193,0.56870,-0.38130,-0.85630,0.35210,1.07800,0.13270
194,-0.08110,0.64090,0.04810,0.26982,1.28200,0.17110
195,0.57630,0.69410,-0.33190,0.20454,1.47800,0.26830
196,0.65610,0.98290,-0.03170,0.34734,2.19000,0.14350
197,-0.17990,-0.04690,-0.15330,0.23446,2.25400,0.33310
198,0.76630,0.33690,-0.28250,0.48742,1.44600,0.31510
199,-0.64350,0.66370,0.47370,0.23718,2.01400,0.23410
200,0.34450,0.66750,-0.26350,0.45614,1.08200,0.20890
201,-0.63970,-0.30150,0.05190,0.16850,1.59800,0.12730
202,-0.46490,0.51170,-0.10010,0.29770,1.13400,0.39550
203,0.91070,0.11270,0.13170,0.34530,1.15800,0.15190
204,0.70170,-0.86770,0.85370,0.18890,2.26600,0.18790
205,0.64470,0.57250,-0.14190,0.21678,2.41000,0.21790
206,0.61430,0.20390,0.70550,0.27050,2.65800,0.15610
207,-0.83730,-0.23690,0.86890,0.20386,1.51800,0.16030
208,0.03290,-0.62830,0.38250,0.45002,2.00600,0.28150
209,0.17730,-0.07730,-0.69290,0.27118,2.33000,0.39250
210,-0.18370,-0.54470,-0.55230,0.30994,2.84600,0.35350
211,-0.65110,-0.37370,0.51930,0.36842,2.88600,0.20110
212,0.72450,-0.24830,0.79290,0.21950,2.94600,0.28390
213,0.89550,0.99050,0.28370,0.31742,2.78200,0.22030
214,0.76250,0.17350,-0.87150,0.43234,1.25400,0.17950
215,-0.29770,-0.87910,-0.49910,0.48130,1.45800,0.34570
216,0.14690,0.87270,0.65610,0.44390,1.23000,0.23230
217,-0.14950,-0.08490,0.88410,0.28954,1.00600,0.34630
218,0.54970,-0.60930,-0.01650,0.49966,1.69000,0.37330
219,0.35590,0.05190,0.97530,0.26778,2.23400,0.32230
220,-0.07730,0.73590,0.61050,0.20794,2.05800,0.35470
221,-0.19890,-0.89810,-0.59030,0.19570,2.21800,0.12790
222,-0.72710,-0.00510,0.79670,0.47790,1.45400,0.19090
223,-0.44970,-0.02030,-0.49530,0.17190,1.86200,0.36010
224,0.41670,0.16590,0.09370,0.44458,1.60600,0.34450
225,0.28750,-0.29010,-0.48390,0.37590,2.53800,0.10450
226,0.09370,-0.54850,0.00630,0.20250,1.57400,0.31090
227,-0.13810,-0.02790,0.71690,0.45886,2.63800,0.31810
228,-0.25210,-0.10390,0.94490,0.20182,1.99400,0.28930
229,-0.47250,-0.56370,0.38630,0.16510,1.73000,0.21430
230,-0.69670,-0.34710,0.75870,0.22494,1.90200,0.38590
231,-0.10770,-0.82970,-0.61310,0.29226,1.07400,0.17530
232,-0.84490,0.27990,0.35210,0.48402,2.68600,0.23350
233,-0.70810,0.97150,-0.10770,0.25826,1.72600,0.36730
234,-0.38890,-0.51050,-0.24830,0.44798,2.71400,0.14170
235,0.24190,0.33310,0.66370,0.16578,2.43800,0.28630
236,0.22290,-0.19130,-0.19890,0.18210,1.88600,0.19930
237,0.81950,0.62570,0.80810,0.45750,1.77400,0.18070
238,0.49650,0.81950,-0.61690,0.39698,2.84200,0.20830
239,0.71310,0.51930,0.17350,0.37046,1.63800,0.25390
240,-0.15330,-0.31290,0.30650,0.34394,2.15800,0.17770
241,-0.06590,-0.39650,0.24570,0.25418,2.70200,0.33070
242,0.34830,-0.79550,-0.73850,0.27798,2.14600,0.28330
243,-0.67390,-0.86010,0.04050,0.29498,2.22200,0.37630
244,0.46610,0.47750,-0.82210,0.42010,2.43400,0.23830
245,-0.01650,0.46610,-0.17610,0.38270,1.54200,0.37570
246,0.79670,0.73210,0.11270,0.32626,2.57400,0.28570
247,0.07090,-0.21790,0.11650,0.36570,2.99800,0.14950
248,-0.29390,0.48890,0.42430,0.31062,2.62200,0.25150
249,-0.06210,-0.16090,0.54970,0.42622,2.53000,0.39970
250,0.42430,0.68270,-0.46490,0.37182,2.12200,0.37990
251,0.77770,0.19630,-0.40410,0.45682,2.48600,0.25930
252,0.84990,0.40910,-0.80310,0.17938,1.83800,0.26470
253,-0.81070,-0.72710,0.78150,0.30790,2.42600,0.33250
254,0.53830,-0.88290,-0.14570,0.42894,1.86600,0.25810
255,-0.66630,0.20010,0.18870,0.40718,2.19400,0.11710
256,-0.30150,-0.49910,-0.87530,0.24670,1.70200,0.32830
257,0.87270,-0.66630,0.14310,0.26642,1.99000,0.18730
258,-0.79930,0.92590,-0.59410,0.33102,1.33400,0.38950
259,0.91450,0.02910,0.69790,0.41534,1.71400,0.26290
260,0.15450,0.27610,-0.84490,0.41330,2.85000,0.37450
261,0.44710,-0.62070,0.45090,0.39018,1.15400,0.20650
262,-0.45350,0.35590,0.36350,0.42078,1.06200,0.24610
263,-0.84870,-0.65110,0.64090,0.33306,1.45000,0.26950
264,0.34070,0.87650,-0.65490,0.16374,1.75800,0.19270
265,-0.21030,0.18110,-0.78790,0.22766,1.96200,0.14770
266,0.67890,-0.68910,-0.00130,0.21474,2.64600,0.35170
267,0.15830,0.84610,-0.88670,0.31198,1.55000,0.28990
268,-0.38510,0.73970,0.81190,0.16306,2.19800,0.13450
269,0.87650,-0.05450,-0.45730,0.39562,1.44200,0.17410
270,-0.42690,0.86510,-0.17990,0.22154,2.11000,0.30550
271,-0.16850,-0.46490,-0.13050,0.41806,1.31800,0.15850
272,-0.27490,0.41290,-0.51810,0.33714,2.77800,0.15370
273,-0.09250,0.94110,-0.51050,0.20998,1.16600,0.27430
274,-0.62830,-0.08110,-0.31670,0.34938,2.72600,0.34210
275,0.60670,-0.41170,-0.21790,0.24330,2.83400,0.37810
276,0.21530,-0.35470,-0.30910,0.46974,1.46200,0.11050
277,0.75870,0.93730,0.39010,0.28886,2.02600,0.26410
278,0.77010,0.45090,0.72070,0.47654,2.30600,0.14230
279,-0.53330,0.06710,-0.27490,0.36502,1.40600,0.14410
280,0.16210,-0.42690,0.63330,0.48946,2.98600,0.29650
281,-0.11530,0.61050,0.98670,0.24874,2.50200,0.25630
282,-0.17610,0.34450,-0.75750,0.46294,1.56600,0.23050
283,0.43570,-0.06590,0.82330,0.30178,2.87400,0.36430
284,-0.89050,0.45470,-0.33950,0.26098,2.20200,0.29530
285,0.04430,-0.82210,0.22290,0.41126,1.24200,0.11290
286,0.36350,0.32550,0.75490,0.28138,1.76600,0.11590
287,0.78910,-0.63970,-0.07730,0.24126,1.47400,0.29050
288,0.47750,-0.52950,0.65990,0.28478,2.73000,0.23650
289,0.94110,0.10130,0.20010,0.45546,2.67400,0.37150
290,0.70930,-0.16470,-0.36990,0.31402,1.80200,0.13990
291,-0.79170,0.43950,0.24950,0.19774,1.95800,0.35830
292,-0.78410,-0.37750,-0.46870,0.46022,1.17400,0.30610
293,0.29890,-0.33950,-0.88290,0.42146,2.18600,0.39490
294,0.89170,0.32170,-0.11910,0.19366,1.55400,0.19150
295,-0.52570,0.84990,0.57250,0.18754,2.42200,0.26230
296,-0.35090,-0.84870,-0.76130,0.38678,2.67800,0.38890
297,0.64850,0.08990,-0.57510,0.37998,1.97800,0.28090
298,-0.65490,-0.10010,0.34450,0.43506,2.31400,0.30370
299,-0.09630,-0.59030,0.60670,0.25962,1.37400,0.20230
300,-0.03930,0.52690,0.12790,0.19026,2.44600,0.11110
301,0.51170,0.09370,0.91070,0.18550,1.65800,0.25210
302,-0.16090,0.17730,-0.08490,0.37250,2.92600,0.36610
303,0.80810,-0.28250,0.34070,0.20658,2.11400,0.13330
304,0.24950,0.72070,-0.34330,0.38474,2.81800,0.32530
305,0.48510,0.84230,0.62190,0.24262,2.97000,0.10810
306,-0.73090,0.76630,0.37490,0.27390,2.13400,0.14830
307,-0.37750,0.88410,0.39770,0.46634,1.66600,0.18910
308,0.88030,-0.17230,0.05950,0.18142,2.97400,0.31570
309,0.20390,0.65990,0.10510,0.17598,1.68600,0.27730
310,0.12030,0.23810,0.19250,0.26370,2.06200,0.38230
311,0.62570,-0.55610,0.94110,0.48538,2.46600,0.25330
312,-0.25590,-0.36990,-0.69670,0.39630,2.97800,0.33670
313,-0.85630,0.36730,-0.79930,0.43846,2.40200,0.13930
314,0.25330,-0.86390,0.35970,0.31266,1.27400,0.27550
315,0.01010,0.56110,0.70930,0.32150,2.83800,0.34090
316,0.18490,-0.29770,0.89550,0.45274,1.62600,0.20290
317,0.38250,0.54210,-0.41550,0.42282,1.39800,0.35290
318,0.95250,0.39010,0.03670,0.33374,2.01800,0.13030
319,-0.02030,0.13170,-0.63590,0.32558,1.42600,0.11890
320,0.03670,0.52310,0.96770,0.49762,1.79400,0.24190
321,-0.88670,0.09750,0.59530,0.34258,2.10200,0.36790
322,0.08990,-0.89430,0.77390,0.43370,2.34600,0.36910
323,-0.73850,0.01770,-0.80690,0.36638,1.91400,0.24490
324,-0.49910,-0.18750,-0.83730,0.22018,1.37000,0.16570
325,-0.59790,0.53830,-0.44970,0.23514,2.89800,0.26350
326,-0.26350,0.04810,0.07850,0.42826,2.59800,0.20170
327,0.32550,0.46230,0.81950,0.20114,1.15000,0.33010
328,-0.83350,0.07850,-0.16850,0.22358,2.95800,0.13510
329,0.52310,-0.71190,0.21150,0.19910,2.17800,0.21190
330,0.35970,0.85750,0.25330,0.29158,1.64600,0.37090
331,-0.74990,0.55730,-0.53710,0.34054,1.61000,0.31930
332,0.56490,0.49650,-0.22550,0.46430,2.90600,0.16330
333,0.72070,0.37870,0.46990,0.46838,1.22600,0.27670
334,-0.88290,-0.10770,-0.43830,0.40854,2.63000,0.12850
335,0.51930,0.64470,0.55350,0.33646,2.37800,0.22810
336,0.22670,0.12410,0.57630,0.21406,1.05800,0.14050
337,0.97530,0.74730,0.46230,0.20046,1.91800,0.11650
338,-0.40030,0.34830,0.91450,0.47858,2.58200,0.29590
339,-0.70050,-0.02410,0.52310,0.26438,1.28600,0.25510
340,0.08610,0.89550,0.44710,0.35142,2.56600,0.33550
341,-0.13050,0.46990,0.26090,0.21202,2.81400,0.20050
342,0.00630,-0.69670,0.92970,0.22222,2.75400,0.27610
343,0.69030,0.35210,-0.74230,0.30382,1.10200,0.18670
344,-0.49150,0.95630,0.61430,0.30518,1.41000,0.37510
345,-0.57130,-0.13810,-0.10390,0.27526,2.67000,0.21970
346,-0.16470,0.76250,-0.22170,0.23174,1.41800,0.18850
347,0.61810,-0.75370,0.08230,0.21882,1.81400,0.12250
348,0.67510,-0.13430,-0.63970,0.17394,2.48200,0.11350
349,0.45470,0.78910,0.26850,0.36366,2.29400,0.12190
350,-0.23690,0.44330,0.50410,0.40922,1.49800,0.29350
351,-0.29010,-0.71570,-0.59790,0.37658,1.78200,0.24970
352,0.41290,0.24570,-0.49150,0.18822,2.45800,0.32410
353,0.02150,-0.14950,-0.65870,0.47722,1.73800,0.15730
354,-0.61310,0.55350,0.76250,0.37862,2.08600,0.28810
355,-0.35850,-0.67770,0.81570,0.41194,2.04600,0.20470
356,0.66370,0.23050,-0.05830,0.44186,2.82200,0.12610
357,0.85370,0.75870,-0.36610,0.42486,1.94600,0.24550
358,-0.77650,-0.50290,0.20390,0.36162,2.77000,0.29110
359,0.72830,0.83090,0.72830,0.23922,1.79800,0.35230
360,0.01390,-0.22930,0.77010,0.48810,1.24600,0.33370
361,-0.69290,0.64850,0.01770,0.29022,2.93000,0.21010
362,0.37490,-0.17990,0.69410,0.35618,1.01000,0.21670
363,0.88410,0.88790,-0.08870,0.45818,1.19800,0.32470
364,0.83090,-0.74990,-0.67010,0.43166,2.32600,0.20770
365,0.04050,0.97910,-0.35850,0.32694,1.67400,0.26050
366,0.99050,-0.76890,-0.52950,0.17054,1.77000,0.17170
367,-0.55610,-0.40410,-0.60550,0.41398,2.44200,0.16390
368,0.65990,-0.25590,-0.78410,0.41262,1.29800,0.22210
369,-0.79550,0.23430,-0.56750,0.28750,1.92600,0.10930
370,0.58390,0.08230,0.52690,0.47586,1.74600,0.36190
371,-0.31290,0.14690,-0.38510,0.29634,2.53400,0.17710
372,-0.64730,-0.74610,0.27990,0.28546,1.33000,0.22270
373,-0.42310,-0.88670,-0.28630,0.20522,1.09800,0.15070
374,-0.04690,-0.61310,-0.15710,0.30246,1.61400,0.13390
375,0.23050,0.79670,-0.02410,0.22086,1.49400,0.38410
376,0.69790,0.80430,-0.86770,0.24806,2.29800,0.27850
377,0.17350,0.07090,-0.04690,0.33442,2.73400,0.26590
378,-0.34330,-0.00130,-0.82590,0.28002,2.80200,0.32110
379,-0.47630,-0.76130,-0.44210,0.18346,1.43800,0.28690
380,0.59150,0.70550,0.17730,0.32014,1.25000,0.13630
381,-0.56370,0.70930,0.31030,0.21610,1.60200,0.29950
382,0.84610,-0.32810,0.54210,0.41670,2.58600,0.11950
383,0.48890,0.41670,-0.65110,0.23786,1.23800,0.31030
384,0.19250,-0.42310,-0.13810,0.19842,2.63400,0.10750
385,0.07850,0.12790,0.12410,0.49898,2.27400,0.31870
386,0.33310,-0.76510,0.90690,0.32490,2.51800,0.30850
387,0.82710,-0.67390,-0.48010,0.36094,1.62200,0.34930
388,-0.37370,-0.57890,-0.83350,0.49354,1.11400,0.22930
389,-0.61690,0.85370,-0.03930,0.37522,1.51400,0.15490
390,-0.46110,0.92970,0.32170,0.17870,2.71000,0.12310
391,0.33690,0.50030,-0.63210,0.29362,2.59400,0.38710
392,-0.85250,0.51550,0.13930,0.47450,2.04200,0.37750
393,-0.03550,0.28370,-0.38130,0.37386,1.03800,0.32170
394,-0.50290,-0.45350,0.12030,0.48674,2.82600,0.10630
395,0.89930,-0.28630,0.56490,0.28614,1.84600,0.30130
396,0.21910,0.61810,0.49270,0.28410,1.42200,0.24310
397,0.15070,0.96010,0.02530,0.39358,2.45400,0.24670
398,0.59530,0.03670,-0.32810,0.43302,2.39400,0.33130
399,0.92970,-0.73470,0.13550,0.37454,2.79000,0.33490
400,-0.62450,0.62190,-0.76890,0.29566,1.88200,0.33430
401,0.07470,0.67510,0.78530,0.40038,1.55800,0.15790
402,0.45850,-0.24070,-0.06970,0.47518,2.66200,0.17830
403,-0.24830,0.91450,0.73970,0.29090,2.25000,0.17470
404,-0.44210,-0.46870,0.66750,0.38542,1.67800,0.27490
405,-0.12290,0.56870,0.23430,0.38814,2.21400,0.35110
406,0.94870,-0.06970,-0.62070,0.20726,1.73400,0.38050
407,0.10130,-0.07350,0.29130,0.46702,2.13000,0.22090
408,-0.12670,0.29130,-0.66630,0.25758,2.11800,0.18430
409,-0.00890,-0.26730,0.16210,0.22290,1.01800,0.36250
410,0.26850,0.69790,0.88790,0.35958,2.16200,0.23530
411,0.80430,0.59150,-0.34710,0.40786,1.17800,0.16090
412,0.39010,-0.03170,0.04430,0.42418,2.89400,0.28030
413,-0.04310,0.82330,-0.55610,0.27662,1.75000,0.31210
414,-0.80310,-0.83730,-0.62450,0.21542,2.34200,0.29230
415,0.11270,-0.69290,-0.19130,0.43642,1.36200,0.32350
