idx,beta_perp,beta_para,T_star,Q0_k,alpha_inel_hard
54,1.29160,0.13240,0.30652,1.78285,0.31810
55,0.08200,1.84600,0.38660,2.26795,0.34090
56,1.84600,0.91640,0.50716,1.89625,0.13630
57,0.81000,-0.79160,0.44292,1.73455,0.10150
58,1.54360,-0.13640,0.54500,1.57285,0.36550
59,1.02840,0.30600,0.38132,1.87735,0.17050
60,-0.21480,1.52680,0.46932,2.48845,0.21250
61,0.57480,1.25240,0.55292,2.13565,0.10930
62,-0.57880,1.97480,0.39716,1.54345,0.19030
63,0.83240,1.78440,0.25460,1.94245,0.22990
64,-0.62360,-0.17560,0.34436,1.46155,0.30490
65,0.37320,1.94680,0.57316,2.38345,0.27850
66,-0.11960,-0.51720,0.27044,2.15875,0.16810
67,1.88520,1.59960,0.46140,1.81645,0.37030
68,-0.10280,0.61960,0.17804,1.46785,0.18490
69,0.28920,1.45400,0.47988,1.61065,0.39850
70,0.19960,-0.70200,0.18508,1.80385,0.21670
71,1.80680,1.00600,0.25196,1.45315,0.37990
72,-0.42200,0.17160,0.46844,1.52245,0.10270
73,0.32280,0.12120,0.29772,2.42755,0.23110
74,0.12680,1.99720,0.28100,1.82065,0.13450
75,0.31160,-0.76920,0.54148,2.18395,0.15310
76,1.87960,0.63080,0.57228,2.44435,0.18970
77,0.91640,1.67800,0.51508,2.40025,0.35050
78,1.31960,0.39000,0.17276,1.71145,0.23230
79,-0.17000,1.33080,0.52740,1.71775,0.26170
80,0.39000,-0.71880,0.59340,1.99285,0.38410
81,1.38120,1.63320,0.27396,2.04955,0.15670
82,1.14600,0.10440,0.49132,1.49725,0.38530
83,0.89400,0.61400,0.45964,1.69885,0.28150
84,-0.34360,-0.60680,0.40596,1.88995,0.27190
85,1.68360,-0.31560,0.19036,1.62115,0.32890
86,0.95560,-0.43880,0.21764,2.32045,0.36910
87,1.45400,1.79000,0.49836,2.25745,0.29050
88,0.71480,-0.41080,0.17452,1.90885,0.11470
89,-0.26520,-0.74120,0.21060,2.41075,0.24010
90,-0.66840,1.57160,0.43324,1.62745,0.13390
91,-0.75800,1.87400,0.57052,2.15665,0.14710
92,-0.29320,0.53560,0.39364,2.18815,0.21730
93,1.97480,-0.67960,0.34260,1.99075,0.12130
94,1.09000,-0.60120,0.16660,2.23435,0.20050
95,-0.47800,-0.47800,0.55556,1.72405,0.18910
96,-0.42760,-0.64600,0.28892,2.10205,0.36130
97,0.97800,1.27480,0.24668,2.19445,0.27250
98,1.13480,-0.28200,0.36196,2.21335,0.34270
99,1.99160,0.67560,0.23260,2.05585,0.36490
100,-0.71320,0.51880,0.55028,1.45105,0.33370
101,0.48520,0.92760,0.59516,2.49685,0.22210
102,-0.65160,-0.27640,0.58812,1.90255,0.12730
103,0.41240,-0.08600,0.17540,2.15245,0.37630
104,1.48200,-0.41640,0.49660,1.54135,0.12310
105,-0.62920,1.09560,0.26252,2.29945,0.17290
106,0.21640,-0.25960,0.26604,1.58965,0.35890
107,1.93000,0.45160,0.42092,2.10415,0.14530
108,1.17400,0.99480,0.58460,1.62325,0.27430
109,0.43480,0.68680,0.49924,2.12725,0.25150
110,0.68120,1.48200,0.31356,1.86055,0.18070
111,-0.15320,1.02840,0.18860,2.01385,0.33730
112,0.79880,-0.37160,0.29420,2.07475,0.20650
113,-0.06920,1.73960,0.39276,1.74925,0.15550
114,1.20200,0.93320,0.33292,2.26375,0.19330
115,-0.41080,-0.12520,0.21236,1.48045,0.39310
116,0.92760,1.34200,0.59428,1.50355,0.11770
117,1.24680,-0.64040,0.57492,2.08105,0.17770
118,1.61080,1.06200,0.46668,2.31625,0.38110
119,-0.24840,0.46280,0.17012,2.30365,0.10510
120,0.61400,-0.20920,0.53796,1.67995,0.27010
121,1.76200,-0.39960,0.31092,1.72195,0.37690
122,0.14920,0.64200,0.33996,1.55185,0.33610
123,-0.61240,-0.73560,0.51332,2.28895,0.34150
124,-0.63480,0.91080,0.45172,1.97185,0.22630
125,0.53560,1.35320,0.19740,2.09995,0.18730
126,0.07640,-0.75800,0.45084,1.82275,0.31630
127,-0.38280,0.59720,0.49308,2.04535,0.35170
128,1.53800,1.81240,0.23084,1.56865,0.10450
129,0.14360,0.23320,0.43500,2.44225,0.28330
130,1.01720,1.37000,0.29068,1.76185,0.36850
131,1.79000,0.16040,0.53444,2.37925,0.14950
132,0.06520,1.94120,0.32676,2.49265,0.17530
133,-0.69080,0.01480,0.56348,2.38975,0.38950
134,1.96920,-0.34920,0.27132,1.85635,0.25270
135,0.97240,0.72600,0.52916,1.83745,0.39010
136,1.75080,0.67000,0.40684,2.47795,0.25930
137,0.04280,-0.28760,0.30476,1.97395,0.10870
138,1.05080,-0.15320,0.41212,2.33725,0.22810
139,-0.78040,-0.67400,0.16924,2.05795,0.27730
140,1.63320,1.43720,0.18420,1.92565,0.26950
141,-0.06360,0.09320,0.25548,1.89415,0.29830
142,1.95800,1.06760,0.44820,1.74295,0.19810
143,-0.45000,1.73400,0.50276,1.70725,0.38770
144,0.13800,0.03160,0.59868,2.06635,0.19870
145,0.66440,0.38440,0.25812,1.56655,0.14770
146,1.51560,1.03960,0.52300,2.20705,0.16150
147,1.71160,-0.69640,0.38220,2.39815,0.19270
148,1.18520,0.75960,0.19916,2.33935,0.33310
149,1.44280,0.46840,0.23700,2.46325,0.19690
150,1.81240,1.93560,0.37252,1.51615,0.33190
151,-0.76360,1.71720,0.18772,1.65055,0.18010
152,1.05640,0.02040,0.19212,2.12305,0.12190
153,0.16040,0.96680,0.26956,2.21965,0.37270
154,1.10120,0.49080,0.16132,1.55605,0.35530
155,0.75960,1.38120,0.49484,1.63585,0.19450
156,-0.38840,1.22440,0.29684,1.51405,0.24610
157,1.35880,1.23560,0.37692,1.85845,0.38350
158,-0.73560,1.47640,0.50804,1.48255,0.23470
159,0.55240,0.17720,0.52212,2.03485,0.39790
160,0.40680,0.09880,0.54412,2.48215,0.11410
161,1.75640,0.11560,0.42356,1.65685,0.10810
162,-0.48920,1.56040,0.54852,2.18605,0.29530
163,1.23000,1.99160,0.50364,2.30155,0.14470
164,1.72280,-0.30440,0.56260,1.83115,0.16990
165,0.87720,1.12920,0.18596,1.78705,0.39550
166,0.49640,1.81800,0.56788,1.57915,0.25390
167,-0.56200,1.68360,0.25020,2.02225,0.37870
168,0.26120,0.55800,0.36724,1.64425,0.17350
169,-0.23720,-0.24280,0.56964,1.94875,0.36730
170,0.64760,-0.19800,0.29332,2.46955,0.38650
171,1.12360,-0.08040,0.22116,1.80595,0.17830
172,0.63080,-0.68520,0.32060,1.53925,0.28390
173,1.16840,1.24120,0.44644,2.36455,0.12250
174,0.42920,-0.06360,0.58900,1.76815,0.29110
175,1.61640,0.87160,0.26868,2.40655,0.14590
176,-0.39400,-0.04120,0.33908,1.91725,0.13810
177,0.00920,0.71480,0.35580,2.11045,0.39430
178,1.33640,-0.55640,0.32324,2.18185,0.11530
179,0.24440,1.98040,0.54236,2.02435,0.31330
180,0.54120,1.70040,0.34348,1.82485,0.29950
181,0.41800,1.26360,0.42620,1.68415,0.37210
182,1.49880,1.09000,0.31268,2.43805,0.25210
183,-0.32680,0.05960,0.44116,1.60855,0.32050
184,0.12120,-0.13080,0.32236,1.71565,0.21370
185,0.82120,-0.49480,0.48868,2.24065,0.25510
186,1.47640,1.85160,0.45348,1.49935,0.18430
187,1.07880,0.85480,0.31620,1.46995,0.32950
188,1.30280,1.76200,0.57668,1.81855,0.20350
189,-0.52840,0.66440,0.58020,2.25325,0.32410
190,-0.33240,1.90760,0.26780,2.09575,0.28210
191,-0.31000,1.07880,0.39804,1.80805,0.36070
192,1.89640,0.94440,0.22468,1.61905,0.16870
193,1.32520,1.32520,0.47020,2.03275,0.25030
194,1.64440,0.60280,0.59780,1.86475,0.26290
195,-0.69640,0.06520,0.29596,2.11675,0.15370
196,1.78440,-0.65160,0.42004,1.90465,0.33970
197,0.72040,0.29480,0.53972,2.20285,0.32830
198,0.17160,0.50760,0.18684,2.49895,0.29590
199,1.90760,-0.27080,0.17100,2.12935,0.22450
200,-0.70760,0.32840,0.35052,1.66525,0.20410
201,-0.23160,-0.62920,0.51596,1.53505,0.19930
202,0.07080,1.01720,0.54940,1.56445,0.13510
203,1.56040,0.95000,0.53532,1.81015,0.30070
204,0.44600,-0.52280,0.33820,2.40235,0.36610
205,0.89960,1.75080,0.28364,1.62955,0.31570
206,1.31400,-0.70760,0.50452,1.69465,0.16270
207,1.63880,-0.59000,0.33732,1.56025,0.22870
208,-0.05800,0.88280,0.20004,1.67155,0.23830
209,-0.05240,-0.09160,0.42444,2.37505,0.33430
210,-0.51720,1.46520,0.22820,2.07685,0.11110
211,0.82680,1.00040,0.37516,2.34775,0.15850
212,0.36760,0.83240,0.38396,2.09155,0.30910
213,0.77640,-0.78600,0.25108,2.29315,0.28810
214,-0.46120,0.73160,0.29156,1.64845,0.10630
215,-0.22040,1.96920,0.48076,2.20915,0.35770
216,1.56600,0.04840,0.46404,2.22805,0.13090
217,0.35640,1.63880,0.42884,2.45485,0.14890
218,1.28040,1.68920,0.44908,1.67365,0.34030
219,1.98600,1.67240,0.31884,2.19025,0.16450
220,-0.24280,1.16280,0.51068,2.44015,0.11710
221,0.49080,0.77640,0.32588,1.92355,0.23350
222,-0.55640,0.54680,0.27924,1.57075,0.39610
223,1.25800,1.55480,0.28716,2.24485,0.25990
224,1.69480,0.59160,0.18068,2.02645,0.13690
225,1.42600,-0.32680,0.28188,2.14405,0.31090
226,1.83480,0.21080,0.28804,1.46365,0.24310
227,0.34520,0.36760,0.40948,1.71985,0.13030
228,-0.50040,1.77880,0.36460,2.04115,0.20830
229,0.05400,-0.35480,0.49748,1.46575,0.36970
230,0.84920,0.34520,0.53620,1.45735,0.15610
231,-0.58440,-0.42760,0.32852,1.96765,0.34810
232,1.03960,-0.51160,0.20532,1.64635,0.28090
233,-0.15880,1.49320,0.36988,1.58335,0.34870
234,1.37000,1.92440,0.19300,1.87315,0.30250
235,-0.19240,0.25000,0.24052,1.70515,0.16390
236,1.80120,1.58840,0.58372,1.66735,0.12490
237,1.11800,0.26680,0.25988,2.31835,0.10090
238,-0.17560,-0.54520,0.59076,2.23015,0.29770
239,0.30600,-0.45560,0.46052,1.90045,0.22930
240,1.89080,1.28600,0.52564,1.47835,0.34450
241,1.99720,0.80440,0.39012,2.33305,0.27370
242,0.58040,0.44040,0.27484,1.86265,0.32350
243,1.62760,0.31160,0.42972,1.96135,0.37450
244,0.65880,1.45960,0.18948,2.26585,0.35650
245,0.45160,1.86840,0.16484,1.48465,0.27130
246,-0.78600,-0.33800,0.23436,2.35195,0.24430
247,1.00600,1.83480,0.45700,2.13355,0.32230
248,0.13240,0.42920,0.52124,1.49305,0.30190
249,-0.02440,0.39560,0.54764,2.36035,0.17650
250,1.14040,1.72280,0.32412,1.52035,0.21790
251,0.27240,0.07640,0.57844,1.54975,0.15970
252,-0.56760,0.64760,0.16836,1.74085,0.25330
253,1.66120,1.77320,0.55468,2.43175,0.36430
254,-0.25400,-0.46120,0.34788,1.61695,0.15790
255,0.93880,-0.23160,0.44556,1.54555,0.37930
256,1.08440,0.36200,0.50628,2.44855,0.26470
257,1.53240,1.37560,0.35492,1.88785,0.14830
258,0.29480,1.82360,0.21324,2.33095,0.30970
259,0.62520,0.32280,0.58196,1.98655,0.10330
260,-0.28200,-0.15880,0.22644,2.23645,0.35350
261,1.91320,0.04280,0.30300,1.67575,0.19390
262,-0.14200,1.21320,0.20884,1.87105,0.12370
263,-0.18120,0.65320,0.46756,2.02015,0.15010
264,-0.43880,1.98600,0.23964,2.39395,0.23170
265,0.55800,1.91320,0.16044,2.31205,0.12910
266,0.46840,-0.44440,0.29860,1.69675,0.30430
267,0.61960,1.57720,0.48428,1.73665,0.31750
268,0.09880,1.11800,0.53180,2.11885,0.28990
269,-0.10840,-0.06920,0.28276,1.79755,0.38170
270,1.85160,0.26120,0.50100,1.68835,0.35950
271,0.94440,1.62760,0.55644,1.78075,0.14050
272,1.23560,-0.57880,0.38836,1.82905,0.36790
273,0.40120,1.30840,0.33380,2.16295,0.14350
274,0.76520,1.65560,0.43852,2.09365,0.23530
275,-0.01320,-0.38280,0.59692,1.69045,0.22510
276,1.03400,-0.34360,0.24844,1.95925,0.39670
277,0.51320,1.48760,0.28012,2.49475,0.33670
278,1.96360,1.51560,0.53268,2.25115,0.38590
279,1.39240,-0.61800,0.58284,1.59805,0.34990
280,-0.71880,1.44840,0.41036,1.84795,0.34330
281,1.70040,0.02600,0.45612,1.77445,0.24670
282,0.88840,-0.74680,0.47724,1.93615,0.20530
283,1.33080,0.54120,0.56524,1.63375,0.11170
284,1.19640,-0.38840,0.54324,2.28685,0.30550
285,1.01160,1.62200,0.30388,2.41915,0.20230
286,1.48760,0.82680,0.57756,2.30995,0.23650
287,-0.18680,0.03720,0.35316,2.41285,0.30790
288,0.59720,0.00920,0.21676,2.26165,0.22330
289,-0.64040,-0.62360,0.26164,1.70935,0.33790
290,1.27480,0.58040,0.37340,2.05165,0.22570
291,0.58600,0.79880,0.36372,1.51195,0.14110
292,1.71720,1.39800,0.57140,2.08945,0.30310
293,-0.01880,0.93880,0.29948,2.15455,0.26530
294,1.45960,1.96360,0.33116,1.62535,0.36670
295,0.10440,-0.05800,0.39980,2.23855,0.17230
296,0.56360,-0.01880,0.37428,1.66105,0.34390
297,1.82360,0.98920,0.36636,1.94455,0.25630
298,-0.12520,0.82120,0.58988,1.82695,0.19090
299,-0.79160,-0.53960,0.52036,1.86685,0.37810
300,0.51880,-0.59560,0.42796,2.11465,0.16330
301,1.15720,-0.19240,0.40508,1.59595,0.29230
302,0.18840,0.56920,0.56172,1.99495,0.26710
303,-0.67400,1.29720,0.48516,2.40445,0.19750
304,0.75400,1.84040,0.20092,2.19865,0.10210
305,-0.25960,-0.31000,0.38044,2.03695,0.28570
306,1.49320,0.07080,0.22556,2.03905,0.33490
307,0.47400,-0.66840,0.21412,1.58125,0.17590
308,-0.37160,0.72040,0.31972,2.29525,0.25570
309,0.90520,0.83800,0.43676,1.85425,0.15190
310,1.86840,-0.09720,0.26428,1.95505,0.16030
311,1.06760,1.71160,0.37076,2.30785,0.28030
312,-0.74680,0.14920,0.40332,2.37085,0.21070
313,0.86040,0.53000,0.30036,1.80175,0.24970
314,0.25000,-0.04680,0.21940,1.51825,0.26590
315,0.01480,0.76520,0.27220,2.44645,0.21490
316,1.57160,1.93000,0.38748,2.15035,0.16930
317,1.39800,1.21880,0.17892,2.22385,0.22750
318,1.16280,-0.56200,0.53356,1.77025,0.21430
319,0.70360,-0.63480,0.19652,1.75345,0.38470
320,1.46520,-0.02440,0.41476,2.29105,0.36250
321,0.17720,1.59400,0.34172,2.32255,0.38890
322,0.87160,1.56600,0.22380,2.00335,0.28690
323,1.79560,-0.22600,0.37868,1.48675,0.15250
324,0.59160,1.40360,0.26076,1.54765,0.39190
325,-0.41640,1.61080,0.25636,2.25955,0.13930
326,0.80440,0.22200,0.36284,1.71355,0.39070
327,1.44840,-0.23720,0.20972,1.89835,0.21550
328,-0.53400,-0.37720,0.47108,2.13985,0.24130
329,0.33960,1.01160,0.29508,1.88575,0.34750
330,-0.75240,0.98360,0.34524,2.00965,0.18310
331,-0.09720,-0.73000,0.49044,2.39185,0.13870
332,-0.51160,0.35080,0.56612,1.77235,0.34930
333,-0.14760,0.81000,0.24404,1.50145,0.29410
334,0.54680,1.89080,0.51244,1.70095,0.10690
335,0.81560,0.69240,0.39628,2.42965,0.33910
336,1.28600,0.25560,0.58724,2.12095,0.25690
337,-0.65720,-0.32120,0.31708,1.60435,0.23590
338,-0.28760,0.90520,0.54588,1.91095,0.39730
339,1.81800,0.40120,0.51684,2.22595,0.28450
340,0.79320,1.10120,0.55996,2.48425,0.27550
341,1.54920,1.15720,0.27308,1.53715,0.32650
342,0.11000,1.33640,0.37956,1.96555,0.20110
343,0.78200,-0.11960,0.50980,2.11255,0.37150
344,0.37880,-0.56760,0.25284,2.00545,0.18790
345,1.94120,-0.48920,0.53004,1.58755,0.16630
346,1.58840,1.53800,0.17628,1.52665,0.12970
347,0.72600,0.51320,0.45260,1.92145,0.38230
348,1.73960,1.79560,0.47548,1.83535,0.11350
349,1.84040,1.53240,0.59604,1.96975,0.33010
350,0.25560,1.03400,0.22732,2.13145,0.21130
351,0.60840,0.20520,0.49572,2.34145,0.18370
352,1.65560,0.97240,0.20356,2.27845,0.24190
353,1.91880,0.37320,0.20620,1.59175,0.31690
354,0.64200,1.31400,0.54060,1.89205,0.21910
355,-0.29880,-0.07480,0.47460,1.47205,0.20950
356,0.08760,1.35880,0.22028,2.42125,0.27910
357,-0.00200,0.08200,0.41828,1.73875,0.39970
358,0.22200,0.37880,0.44732,2.14825,0.35590
359,1.21320,1.11240,0.16308,2.16715,0.11290
360,-0.76920,0.42360,0.38924,1.74505,0.30670
361,-0.61800,0.23880,0.17364,2.20495,0.28930
362,1.24120,0.74280,0.42180,1.56235,0.18190
363,-0.07480,1.66680,0.26516,2.34985,0.32710
364,1.74520,0.92200,0.45876,1.52875,0.35230
365,-0.66280,0.50200,0.50012,2.45905,0.37510
366,0.23320,-0.10280,0.33028,2.38765,0.11230
367,-0.50600,-0.29880,0.19476,1.81225,0.27490
368,-0.16440,1.61640,0.44380,1.92775,0.29170
369,1.34760,1.86280,0.52388,1.74715,0.27970
370,-0.08040,0.49640,0.41564,1.50985,0.22390
371,0.92200,0.47960,0.20796,2.35405,0.13990
372,-0.74120,0.47400,0.53092,1.97605,0.11950
373,1.77880,0.77080,0.35228,1.69255,0.31930
374,1.52120,-0.14760,0.44204,1.97815,0.18850
375,-0.39960,-0.77480,0.43060,2.28055,0.21190
376,1.34200,1.41480,0.33644,2.47585,0.23410
377,0.50200,1.08440,0.30916,1.66945,0.13270
378,1.82920,1.17960,0.47196,2.16925,0.20710
379,-0.48360,-0.72440,0.33556,1.50565,0.17890
380,0.95000,1.16840,0.32500,2.28265,0.34570
381,-0.55080,1.95240,0.31444,1.94035,0.32290
382,0.47960,1.20200,0.47636,2.42335,0.36010
383,-0.36040,-0.00200,0.55204,2.21545,0.23890
384,-0.27640,0.41240,0.59252,2.08315,0.33850
385,-0.30440,-0.52840,0.48692,2.46745,0.32590
386,1.07320,-0.58440,0.46580,2.06425,0.30010
387,1.66680,1.87960,0.32148,2.07895,0.24790
388,0.16600,-0.46680,0.28980,2.34565,0.27670
389,-0.20360,1.43160,0.57404,2.22175,0.10390
390,1.58280,0.33400,0.16572,2.29735,0.31150
391,1.87400,1.70600,0.22908,1.84375,0.24070
392,-0.00760,-0.69080,0.39188,2.07265,0.25450
393,0.99480,0.56360,0.45436,2.43595,0.16750
394,0.44040,0.13800,0.48340,1.60015,0.21850
395,1.92440,1.49880,0.31004,2.12515,0.29470
396,-0.33800,1.19080,0.21500,2.36665,0.18550
397,1.06200,1.95800,0.42708,1.86895,0.21610
398,1.57720,-0.22040,0.51420,1.87945,0.33250
399,1.95240,0.89400,0.48956,2.45065,0.34210
400,0.33400,0.78200,0.55908,2.16085,0.38710
401,1.17960,1.34760,0.50188,1.85215,0.31030
402,0.02040,1.72840,0.51156,2.19655,0.21970
403,-0.54520,0.79320,0.37164,2.39605,0.35410
404,-0.04680,0.55240,0.20708,1.95295,0.36190
405,0.84360,-0.53400,0.41740,1.57705,0.13210
406,-0.47240,1.52120,0.40244,1.65895,0.24370
407,1.86280,1.13480,0.54676,2.32465,0.31870
408,1.85720,-0.05240,0.43148,2.06005,0.27610
409,1.60520,0.78760,0.24756,1.78915,0.35830
410,1.26360,0.65880,0.30828,2.30575,0.39130
411,1.59400,0.45720,0.47900,1.66315,0.27310
412,0.56920,1.66120,0.58636,2.36245,0.19510
413,-0.49480,-0.20360,0.45524,2.35615,0.28750
414,0.68680,0.16600,0.23788,1.98235,0.31510
415,-0.22600,1.20760,0.58108,1.55815,0.33130
416,-0.68520,0.19400,0.22292,1.78495,0.26050
417,-0.53960,0.60840,0.53708,1.63795,0.20770
418,0.09320,1.28040,0.17980,1.60645,0.36370
419,0.73160,0.70360,0.55116,2.05375,0.18610
420,-0.27080,1.65000,0.49396,1.99915,0.12670
421,-0.36600,0.14360,0.40860,1.45525,0.37570
422,0.67000,-0.42200,0.24580,2.38135,0.17710
423,-0.13640,1.38680,0.44996,1.53085,0.14650
424,0.11560,1.80680,0.47812,2.47165,0.26110
425,0.65320,0.87720,0.35140,2.04325,0.27070
426,1.51000,0.62520,0.32940,1.84585,0.20590
427,-0.44440,0.43480,0.20444,2.14615,0.16570
428,-0.67960,1.12360,0.27572,1.99705,0.30610
429,1.15160,-0.47240,0.36900,1.94665,0.12550
430,0.46280,0.63640,0.25724,2.17135,0.34510
431,1.00040,1.42040,0.31796,2.00755,0.10750
432,1.22440,0.84920,0.55732,1.96345,0.29350
433,-0.37720,-0.57320,0.37780,1.77865,0.10990
434,1.65000,-0.18680,0.53884,2.24275,0.20890
435,0.91080,1.10680,0.41124,1.52455,0.26230
436,1.35320,1.04520,0.18332,2.46535,0.37330
437,-0.59560,0.05400,0.20268,2.43385,0.11050
438,1.72840,1.64440,0.34964,1.98025,0.22090
439,1.47080,1.60520,0.40772,2.17555,0.12070
440,1.11240,1.14600,0.23524,1.92985,0.13750
441,1.40920,1.31960,0.34612,1.58545,0.19150
442,0.00360,1.89640,0.37604,1.68625,0.26350
443,1.38680,-0.45000,0.39100,2.41495,0.24250
444,0.22760,0.15480,0.23172,2.45275,0.38050
445,0.15480,0.00360,0.16748,1.68205,0.30730
446,0.67560,0.95560,0.47372,1.75765,0.16210
447,-0.40520,0.28920,0.52652,1.85005,0.29290
448,-0.13080,0.19960,0.30740,2.27635,0.19630
449,1.43160,1.15160,0.48780,1.79965,0.23950
450,0.69240,1.44280,0.45788,2.37295,0.26650
451,1.12920,1.54360,0.43588,2.01595,0.35290
452,0.26680,1.75640,0.17188,1.83325,0.25750
453,1.55480,0.57480,0.25372,2.24905,0.18130
454,1.30840,0.88840,0.48164,2.13775,0.12790
455,-0.03000,0.69800,0.21852,1.60225,0.12850
456,-0.60680,-0.50600,0.38484,2.21125,0.39370
457,0.30040,1.23000,0.56084,1.73035,0.21010
458,-0.08600,0.74840,0.43236,2.17765,0.31390
459,1.29720,1.74520,0.24228,2.33515,0.16690
460,0.85480,-0.10840,0.55380,1.90675,0.25870
461,-0.43320,0.12680,0.36812,1.75555,0.22690
462,0.50760,0.35640,0.35844,2.24695,0.37090
463,0.31720,1.42600,0.41300,2.06215,0.17410
464,0.98920,0.68120,0.40420,1.79335,0.11830
465,0.36200,-0.61240,0.28540,2.49055,0.13570
466,0.96680,0.97800,0.25900,1.73245,0.30850
467,1.40360,0.18280,0.35404,1.93825,0.28870
468,1.62200,1.40920,0.40068,1.61485,0.31210
469,-0.70200,-0.11400,0.36020,2.06845,0.32470
470,-0.19800,-0.17000,0.27660,2.32885,0.14410
471,0.39560,-0.66280,0.43940,2.36875,0.29710
472,1.25240,0.48520,0.24492,2.10625,0.30370
473,1.42040,0.28360,0.29244,1.72615,0.15130
474,0.86600,-0.40520,0.35756,1.76395,0.18670
475,0.32840,-0.24840,0.51860,2.40865,0.16510
476,1.70600,1.26920,0.27836,1.64005,0.25810
477,1.19080,-0.76360,0.30212,2.20075,0.37750
478,0.74840,-0.43320,0.56436,1.79125,0.31450
479,1.09560,-0.16440,0.34876,1.67785,0.11590
480,0.03720,-0.03560,0.50892,1.64215,0.28510
481,0.74280,0.44600,0.46492,2.28475,0.22030
482,-0.34920,0.84360,0.30564,1.59385,0.17170
483,-0.03560,1.24680,0.28628,2.02855,0.19210
484,1.67800,0.86600,0.41388,1.72825,0.23050
485,1.10680,-0.29320,0.43412,1.49095,0.19570
486,-0.59000,0.11000,0.46316,1.87525,0.26770
487,0.52440,1.17400,0.39452,2.00125,0.24850
488,1.41480,1.58280,0.21588,1.70305,0.24730
489,0.96120,-0.21480,0.23876,2.17345,0.15070
490,0.23880,1.80120,0.31180,2.09785,0.15910
491,0.73720,1.05080,0.40156,2.21755,0.28630
492,0.02600,0.27240,0.43764,2.04745,0.14230
493,0.18280,-0.14200,0.20180,1.93195,0.24910
494,0.38440,1.14040,0.26340,1.83955,0.22270
495,0.03160,1.30280,0.41652,1.91305,0.31990
496,0.27800,0.40680,0.33204,2.03065,0.24490
497,-0.11400,1.18520,0.32764,1.81435,0.26830
498,0.60280,-0.26520,0.48604,2.01175,0.34630
499,0.21080,0.33960,0.51772,1.88365,0.20290
